temp	0.013703066734
non	0.00712892338188
min	0.00705470281034
max	0.00690926047822
les	0.00679080744485
ça	0.0056145238413
trop	0.00527790730975
plus	0.00498102502358
si	0.0043220363126
genève	0.00363081038368
fait	0.00358882703008
météo	0.00344188529248
mi	0.00330468969054
che	0.00314500300631
di	0.00309627232802
follow	0.00293808504928
tout	0.00257747802996
va	0.00252200002699
please	0.00251225389133
faire	0.00247476875419
ch	0.00244777945545
oh	0.00237280918116
quand	0.00237280918116
oui	0.00236381274825
mal	0.0021583941967
vais	0.00208417362516
bien	0.00206768016481
sais	0.00204219027156
comme	0.0020219482975
aussi	0.00198596256584
gt	0.00191773961624
ya	0.0018330232063
ah	0.00181128182676
veux	0.00178429252801
putain	0.00176704936493
quoi	0.00167483592755
bon	0.0016703377111
fais	0.00165909216995
love	0.00164259870961
lt	0.0016073626807
rien	0.0015916189231
ils	0.00153014329818
con	0.00151364983784
ho	0.00150690251315
lo	0.00150165459395
demain	0.00147766410618
être	0.00145367361841
ouais	0.00140644234561
io	0.00137720393864
sono	0.00137270572218
el	0.00136520869475
merde	0.00135321345087
encore	0.00134196790972
wind	0.0013344708823
una	0.00133372117955
per	0.0013292229631
mdr	0.00128948871772
amp	0.00127149585189
peux	0.00126249941898
pourquoi	0.00125800120252
aime	0.00125275328332
voir	0.00125200358058
10	0.00122876279555
come	0.00121151963247
envie	0.00118378063098
miss	0.00116803687338
want	0.00116353865692
dit	0.00116203925144
ca	0.00113804876367
dire	0.00113355054721
cloud	0.00112830262801
alors	0.00111105946492
ja	0.00109681511281
là	0.00108631927441
vu	0.00107732284149
rain	0.00106382819212
ha	0.00104808443452
ok	0.00104583532629
chez	0.00103384008241
faut	0.00103234067692
rt	0.00102409394675
jamais	0.00099785435075
30	0.000977612376693
cette	0.000972364457493
bah	0.000964117727321
like	0.000960369213607
ben	0.000949873375207
déjà	0.000946874564235
temps	0.000943875753264
twitter	0.000937878131321
sorry	0.000936378725835
sunny	0.000931130806635
tweet	0.000923633779207
personne	0.000915387049035
one	0.000907140318864
soir	0.000906390616121
see	0.000898893588692
vraiment	0.000896644480463
comment	0.000889897155778
today	0.000889897155778
much	0.000889147453035
fois	0.000887648047549
go	0.000876402506406
back	0.000874153398178
toujours	0.00086440726252
triste	0.000862907857035
15	0.000856160532349
13	0.000855410829606
avoir	0.000850912613149
14	0.000847913802177
34	0.000847913802177
tellement	0.00084341558572
11	0.000840416774749
anche	0.000834419152806
day	0.000833669450063
white	0.000831420341834
know	0.000829920936349
12	0.000818675395206
dormir	0.000815676584234
na	0.000812677773263
dis	0.000809678962291
get	0.000809678962291
switzerland	0.000808929259549
sad	0.000802931637606
gens	0.000794684907434
crois	0.000792435799206
16	0.000791686096463
arrive	0.000790186690977
après	0.000787937582748
time	0.000781190258063
yo	0.00077519263612
peut	0.000767695608691
al	0.000766196203205
peu	0.000753451256577
juste	0.000740706309948
jai	0.000739956607205
36	0.000737707498977
manque	0.000735458390748
omg	0.000731709877034
ci	0.000727211660577
por	0.000724962552348
vrai	0.000722713444119
vie	0.000717465524919
jsuis	0.000715216416691
50	0.000713717011205
never	0.000712967308462
ti	0.000707719389262
parce	0.000706969686519
ptn	0.000703221172805
tous	0.000702471470062
haha	0.000697973253605
20	0.000694974442633
18	0.000692725334405
viens	0.000675482171319
bu	0.000669484549376
donc	0.000664236630176
tomorrow	0.000664236630176
17	0.000661987521948
37	0.000655240197262
mas	0.000652991089033
still	0.00065224138629
really	0.000649242575319
dois	0.000640995845147
più	0.000640246142405
monde	0.000634998223204
solo	0.000630500006747
para	0.000629750304004
avant	0.000628250898519
good	0.000627501195776
cours	0.000626751493033
eh	0.00062600179029
del	0.000618504762862
merci	0.000618504762862
zh	0.000611757438176
39	0.000608758627204
toute	0.000608758627204
vois	0.000608758627204
sans	0.000608008924461
32	0.000604260410747
pero	0.000604260410747
light	0.000602761005261
chance	0.00059451427509
veut	0.000593014869604
depuis	0.000591515464118
weather	0.000591515464118
19	0.000590016058633
degrees	0.00058926635589
peur	0.000585517842176
55	0.00058401843669
57	0.000581019625718
mère	0.000580269922976
celsius	0.000579520220233
meme	0.000578020814747
moment	0.000569774084575
coup	0.000563776462633
46	0.000561527354404
45	0.000559278246175
los	0.000559278246175
não	0.000556279435204
28	0.000554780029718
nn	0.000550281813261
parle	0.000548782407775
suisse	0.000548782407775
nan	0.000548032705032
bad	0.000545033894061
hui	0.000542784785832
maintenant	0.000542784785832
52	0.000541285380347
sunday	0.000539036272118
aujourd	0.000530789541947
lol	0.000530789541947
truc	0.000530039839204
pauvre	0.000526291325489
deux	0.000525541622747
grave	0.000525541622747
friday	0.000518794298061
last	0.000517294892575
need	0.000516545189832
saturday	0.000512796676118
27	0.000511297270632
vas	0.000511297270632
chaud	0.000510547567889
genre	0.000509797865146
shower	0.000509048162404
pense	0.000506049351432
leider	0.000504549945946
schon	0.000502300837718
monday	0.000501551134975
jour	0.000498552324004
heavy	0.000497802621261
ama	0.000497052918518
como	0.000496303215775
59	0.000495553513032
54	0.000492554702061
dommage	0.000492554702061
ni	0.000489555891089
home	0.000488806188346
61	0.000487306782861
bir	0.000487306782861
hahaha	0.000487306782861
semaine	0.000486557080118
parler	0.000485057674632
matin	0.000484307971889
zürich	0.000482808566403
think	0.000482058863661
pls	0.000481309160918
48	0.000477560647203
mdrrr	0.000473812133489
già	0.000473062430746
trouve	0.000468564214289
bonne	0.00046631510606
seule	0.00046631510606
hope	0.000464815700575
tuesday	0.000463316295089
chier	0.000460317484118
41	0.000458068375889
